id_cliente,nome,idade,genero,endereco,numero_contato,data_cadastro,tipo_cliente
P201,Quinn Johnson,29,F,19999 Oak St,555-7890,2024-07-19,D001
P202,Rachel Lee,50,M,20000 Pine St,555-8901,2024-07-20,D002
P203,Samuel Adams,34,F,20101 Maple St,555-9012,2024-07-21,D003
P204,Tiffany Scott,46,M,20202 Birch St,555-0123,2024-07-22,D004
P205,Uriel Brown,39,F,20303 Cedar St,555-1234,2024-07-23,D005
P206,Vanessa Harris,50,M,20404 Elm St,555-2345,2024-07-24,D006
P207,William Johnson,29,F,20505 Oak St,555-3456,2024-07-25,D007
P208,Xena Lee,44,M,20606 Pine St,555-4567,2024-07-26,D008
P209,Yvonne Brown,33,F,20707 Maple St,555-5678,2024-07-27,D009
P210,Zachary Adams,52,M,20808 Birch St,555-6789,2024-07-28,D010
P211,Alice Johnson,30,F,20909 Cedar St,555-7890,2024-07-29,D003
P212,Benjamin Scott,50,M,21010 Elm St,555-8901,2024-07-30,D007
P213,Catherine Lee,41,F,21111 Oak St,555-9012,2024-07-31,D002
P214,Daniel Brown,46,M,21212 Pine St,555-0123,2024-08-01,D009
P215,Emily Adams,34,F,21313 Maple St,555-1234,2024-08-02,D001
P216,Frankie Harris,29,M,21414 Birch St,555-2345,2024-08-03,D010
P217,Grace Johnson,44,F,21515 Cedar St,555-3456,2024-08-04,D008
P218,Henry Scott,37,M,21616 Elm St,555-4567,2024-08-05,D004
P219,Isabella Brown,50,F,21717 Oak St,555-5678,2024-08-06,D006
P220,Jack Harris,30,M,21818 Pine St,555-6789,2024-08-07,D005
P221,Kimberly Adams,43,F,21919 Maple St,555-7890,2024-08-08,D007
P222,Liam Lee,52,M,22020 Birch St,555-8901,2024-08-09,D002
P223,Maria Johnson,34,F,22121 Cedar St,555-9012,2024-08-10,D009
P224,Nathan Scott,46,M,22222 Elm St,555-0123,2024-08-11,D010
P225,Olivia Harris,50,F,22323 Oak St,555-1234,2024-08-12,D001
P226,Patrick Adams,29,M,22424 Pine St,555-2345,2024-08-13,D003
P227,Quinn Brown,41,F,22525 Maple St,555-3456,2024-08-14,D006
P228,Rachel Johnson,35,F,22626 Birch St,555-4567,2024-08-15,D008
P229,Samuel Lee,50,M,22727 Cedar St,555-5678,2024-08-16,D004
P230,Tiffany Scott,30,F,22828 Elm St,555-6789,2024-08-17,D007
P231,Uriel Harris,47,M,22929 Oak St,555-7890,2024-08-18,D005
P232,Vanessa Adams,52,F,23030 Pine St,555-8901,2024-08-19,D009
P233,William Scott,39,M,23131 Maple St,555-9012,2024-08-20,D010
P234,Xena Brown,34,F,23232 Birch St,555-0123,2024-08-21,D002
P235,Yvonne Johnson,50,F,23333 Cedar St,555-1234,2024-08-22,D003
P236,Zachary Lee,29,M,23434 Elm St,555-2345,2024-08-23,D001
P237,Alice Harris,46,F,23535 Oak St,555-3456,2024-08-24,D007
P238,Benjamin Brown,33,M,23636 Pine St,555-4567,2024-08-25,D006
P239,Catherine Scott,48,F,23737 Maple St,555-5678,2024-08-26,D010
P240,Daniel Johnson,41,M,23838 Birch St,555-6789,2024-08-27,D004
